Aspect of Care	Recommendation	Sources	AUA2020	DGU2020	EAU-ASCO2025	ESMO2024	NCCN2025
**Lymph Node Management**	For palpable, mobile inguinal nodes (cN1-cN2), inguinal lymph node dissection (ILND) is recommended. The dissection may be fascial-sparing or radical, with preservation of the saphenous vein where possible.	0	1	1	1	1	1
**Lymph Node Management**	If intraoperatively suspicious nodes are removed during surgery for cN+ disease, frozen section analysis should be performed. If positive, an ipsilateral radical lymphadenectomy should be completed in the same session.	0	1	1	1	1	1
**Lymph Node Management**	**For bulky, fixed, or extensive inguinal nodes (cN3), neoadjuvant chemotherapy (NAC) with a cisplatin- and taxane-based regimen is preferred over up-front surgery.**	0	1	1	1	1	1
**Lymph Node Management**	Minimally-invasive ILND for cN1–2 disease should only be offered as part of a clinical trial. It is contraindicated for cN3 disease.	0	1	1	1	1	1
**Lymph Node Management**	**Following a response to neoadjuvant chemotherapy, patients should undergo consolidative surgery,** including radical inguinal lymphadenectomy and possible pelvic lymphadenectomy.	0	1	1	1	1	1
**Lymph Node Management**	**Ipsilateral pelvic lymph node dissection (PLND) is recommended for patients with ≥2-3 positive inguinal nodes on one side or with extranodal extension.**	0	1	1	1	1	1
**Systemic Therapy**	**Recommended neoadjuvant chemotherapy regimens are cisplatin- and taxane-based triplets,** such as TIP (Paclitaxel/Ifosfamide/Cisplatin) or TPF (Cisplatin/Paclitaxel/5-Fluorouracil).	0	1	1	1	1	1
**Systemic Therapy**	**Adjuvant chemotherapy should be considered for patients with pN2 or pN3 disease** following lymph node dissection.	0	1	1	1	1	1
**Systemic Therapy**	Adjuvant radiotherapy (with or without chemo-sensitization) should be offered or considered for patients with high-risk pathological findings such as pN2/N3 disease or extranodal extension.	0	1	1	1	1	1
**Systemic Therapy**	Definitive radiotherapy (with or without chemo sensitization) can be offered to patients who are unwilling or unable to undergo surgery.	0	1	1	1	1	1
**Systemic Therapy**	**For first-line treatment of metastatic disease, platinum-based combination chemotherapy is the preferred approach.** Recommended regimens include TIP, TPF, or cisplatin + 5-FU.	0	1	1	1	1	1
**Systemic Therapy**	**Bleomycin-containing chemotherapy regimens should not be used** due to the risk of pulmonary toxicity.	0	1	1	1	1	1
**Systemic Therapy**	For patients with progressive disease, enrollment in a clinical trial is the preferred option for subsequent-line therapy.	0	1	1	1	1	1
**Systemic Therapy**	Subsequent-line therapy options may include paclitaxel monotherapy or, for biomarker-selected tumors (MSI-H, dMMR, TMB-H), immunotherapy such as pembrolizumab.	0	1	1	1	1	1
**Palliative & Supportive Care**	Patients with metastatic disease or requiring multimodal therapy should be discussed in an interdisciplinary tumor board.	0	1	1	1	1	1
**Palliative & Supportive Care**	Palliative radiotherapy can be offered for symptom control in advanced disease (e.g., 30 Gy in 10 fractions).	0	1	1	1	1	1
**Palliative & Supportive Care**	For chronic lymphedema resulting from treatment, a complex decongestive therapy (lymphatic drainage, compression therapy, and skin care) should be performed.	0	1	1	1	1	1
**Follow-up & Survivorship**	**Close, regular, and risk-stratified follow-up is crucial after treatment,** especially for the first 2-5 years, to detect recurrences and functional disorders.	0	1	1	1	1	1
**Follow-up & Survivorship**	A general follow-up schedule is every 3-4 months for the first 2 years, then less frequently. Follow-up should extend for at least 5 years.	0	1	1	1	1	1
**Follow-up & Survivorship**	Specific follow-up schedules after laser therapy are: <br> • **CO2 Laser:** After 2 months, then every 3 months for 3 years, then biannually. <br> • **Nd:YAG Laser:** Every 3 months for 2 years, then biannually.	0	1	1	1	1	1
**Follow-up & Survivorship**	Specific follow-up schedules based on treatment: <br>• **Organ Preservation:** Every 3 mo (Yrs 1-2), every 6 mo (Yrs 3-5). <br>• **Total Penectomy:** Every 3 mo (Yrs 1-2), annually (Yrs 3-5).	0	1	1	1	1	1
**Follow-up & Survivorship**	**Patients should be taught self-examination** for early detection of recurrence and given easy access back to the clinic if concerns arise.	0	1	1	1	1	1
**Follow-up & Survivorship**	Penile cancer care should be delivered by an extended multi-disciplinary team including specialists in urology, oncology, nursing, pathology, radiology, psychology, and lymphedema therapy.	0	1	1	1	1	1
**Follow-up & Survivorship**	**Patients should be offered psychological support and counseling,** and physicians should discuss the psychological and functional (urinary, sexual) impact of the disease and its treatments.	0	1	1	1	1	1
**Follow-up & Survivorship**	Patients should be assessed for lymphedema at follow-up and referred to lymphedema therapists early if it develops.	0	1	1	1	1	1
