Aspect of Care	Recommendation	Papers	AUA2020	DGU2020	EAU-ASCO2025	ESMO2024	NCCN2025
**Diagnosis / Staging**	It is recommended to conduct p16 testing through Immunohistochemistry (IHC) as part of the initial diagnostic evaluation for all individuals diagnosed with Penile Squamous Cell Carcinoma (PSCC) to differentiate between HPV-associated and HPV-independent disease.	0	1	1	1	1	1
**Diagnosis / Staging**	For cases where Penile Verrucous Carcinoma (PVC) is highly suspected, repeated deeper biopsies that include the basement membrane of the papillomatous tumor are recommended to avoid misdiagnosis.	0	1	1	1	1	1
**Diagnosis / Staging**	Preoperative MRI is recommended for local staging of penile cancer, particularly to distinguish between T2 (spongiosum invasion) and T3 (cavernosa involvement) disease, to inform planning for organ-sparing surgery.	0	1	1	1	1	1
**Diagnosis / Staging**	Cross-sectional imaging (CT and MRI) is recommended as helpful for detecting metastases in the pelvis/retroperitoneum and in patients whose body habitus limits physical examination.	0	1	1	1	1	1
**Diagnosis / Staging**	For biopsy-confirmed Penile Verrucous Carcinoma (PVC) with no clinically palpable inguinal lymph nodes, further workups like CT or ultrasonography can be postponed initially.	0	1	1	1	1	1
**Diagnosis / Staging**	For patients with a high clinical suspicion of inguinal lymph node metastasis (ILNM), a comprehensive workup at the time of initial biopsy is suggested, including blood and tumor markers (e.g., CRP, NLR, PD-L1, p53, SCC-Ag) and advanced imaging.	0	1	1	1	1	1
**Diagnosis / Staging (Imaging Protocol)**	When performing preoperative local staging MRI, institutions may choose to omit artificial erection (induced by intracavernosal injection) from their protocols, as it has similar accuracy to MRI without it.	0	1	1	1	1	1
**Follow-up Care**	Close, strict follow-up is essential for all patients after treatment, particularly after penile-preserving surgery, local excision for PeIN, or a negative DSNB, due to the risk of recurrence.	0	1	1	1	1	1
**Follow-up Care**	Following curative Penile-Preserving Surgery (PPS), surveillance for local recurrence should be conducted every 3 months for the first 2 years, and then every 6 months until at least 5 years post-operatively.	0	1	1	1	1	1
**Follow-up Care**	Men with penile cancers demonstrating a p53 mutant pattern should be considered for a more intensive follow-up strategy.	0	1	1	1	1	1
**Follow-up Care**	Multidisciplinary follow-up with a psychologist trained in sexual therapy is recommended to aid in the recovery of post-operative sexual function and address psychosocial needs.	0	1	1	1	1	1
**Intraoperative Care**	**Principles to Reduce Postoperative Complications during ILND:**<br>• **Tissue Handling:** Use atraumatic handling of anatomic structures.<br>• **Hemostasis/Lymphostasis:** Perform careful control of lymphatics and small vessels.<br>• **Incisions:** Use incisions that follow natural skin creases.<br>• **Flap Creation:** Create the skin flap underneath the Scarpa fascia.<br>• **Wound Closure:** Use myocutaneous flaps if primary closure is associated with excess tension or after prior radiotherapy.	0	1	1	1	1	1
**Intraoperative Management**	Intraoperative Frozen Section Examination (FSE) of surgical margins should be considered during surgery to confirm complete excision, which allows for more conservative macroscopic margins, maximal preservation of penile length, and a reduced risk of positive margins and local recurrence.	0	1	1	1	1	1
**Intraoperative Management**	**Specific Biopsy Protocols during Penile-Preserving Surgery (PPS) with FSE:**<br>• **During glansectomy:** Biopsies of the complete circumference of the urethra and of each corporal tip should be sent for FSE.<br>• **During total glans resurfacing:** Spongiosal biopsies of the deep margin should be taken for FSE.	0	1	1	1	1	1
**Intraoperative Management**	Following glansectomy, deep separate tunical biopsies should be obtained from the corpora to ensure an accurate pathological assessment of the deep surgical margins.	0	1	1	1	1	1
**Lymph Node Management**	For patients with low-risk penile cancer (e.g., Tis, Ta, T1a) and clinically non-palpable inguinal lymph nodes (cN0), surveillance/active monitoring is the recommended management strategy.	0	1	1	1	1	1
**Lymph Node Management**	For patients with intermediate or high-risk penile cancer (e.g., ≥pT1b/G2) and clinically non-palpable inguinal nodes (cN0), prophylactic surgical lymph node staging is recommended. Options include dynamic sentinel lymph node biopsy (DSNB) or inguinal lymph node dissection (ILND).	0	1	1	1	1	1
**Lymph Node Management**	For patients with clinically node-negative (cN0) penile cancer requiring surgical staging (indicated for intermediate- or high-risk tumors), Dynamic Sentinel Node Biopsy (DSNB) is the favored procedure, especially when performed in high-volume, experienced centers.	0	1	1	1	1	1
**Lymph Node Management**	For patients with clinically palpable, suspicious, or confirmed metastatic inguinal lymph nodes, radical inguinal lymph node dissection (ILND) is the standard of care.	0	1	1	1	1	1
**Lymph Node Management**	Early lymphadenectomy is recommended as it improves survival. Delaying ILND, particularly beyond 3 months in high-risk patients, should be avoided.	0	1	1	1	1	1
**Lymph Node Management**	Surveillance or delayed ILND for patients with clinically suspected positive nodes (cN+) is not recommended as it risks missing a curative opportunity.	0	1	1	1	1	1
**Lymph Node Management**	In patients diagnosed with metastatic inguinal nodes on histology following a DSNB, offering a completion radical inguinal lymph node dissection (RLND) is the standard treatment approach.	0	1	1	1	1	1
**Lymph Node Management**	For very selected groups of patients with a positive dynamic sentinel lymph node biopsy (DSNB), strict surveillance might be considered as a potential alternative strategy to immediate completion RLND, but better stratification methods are needed.	0	1	1	1	1	1
**Lymph Node Management**	Pelvic Lymph Node Dissection (PLND) should be performed after ILND for patients with pathological stage pN2 or predictors for pelvic lymph node involvement, such as three or more positive inguinal nodes or extranodal extension (ENE).	0	1	1	1	1	1
**Lymph Node Management**	Prophylactic inguinal lymphadenectomy is not an appropriate treatment for patients with Penile Verrucous Carcinoma (PVC) and non-palpable lymph nodes.	0	1	1	1	1	1
**Lymph Node Management**	For patients with Penile Verrucous Carcinoma (PVC) presenting with lymphadenopathy, treatment with anti-inflammatory drugs may be the treatment of choice, followed by a lymph node biopsy as needed.	0	1	1	1	1	1
**Lymph Node Management**	For low-stage (T1c N0 or below), clinically node-negative patients, guidelines do not recommend the removal of lymph nodes.	0	1	1	1	1	1
**Lymph Node Management**	The management of inguinal nodal disease in transplanted patients should be consistent with standard oncological guidelines.	0	1	1	1	1	1
**Lymph Node Management (Surgical Approach)**	Minimally Invasive Inguinal Lymphadenectomy (MIS-ILND), including video-endoscopic (VEIL) and robot-assisted (RA-VEIL) techniques, is recommended over traditional Open ILND to reduce morbidity. This approach has fewer complications and is considered oncologically equivalent for suitable patients (e.g., cN0 disease) when performed in high-volume centers.	0	1	1	1	1	1
**Lymph Node Management (Surgical Approach)**	For patients with cN1-2 disease, open surgery (O-ILND) should be the preferred option over minimally invasive techniques to reduce the risk of large lymph node fractures during dissection.	0	1	1	1	1	1
**Lymph Node Management (Surgical Approach)**	Modified Inguinal Lymph Node Dissection (ILND) is proposed for patients with high-risk primary penile cancer and clinically negative groins (cN0) to minimize morbidity. The technique involves limiting incision size, preserving the saphenous vein, and excluding dissection lateral to the femoral artery.	0	1	1	1	1	1
**Lymph Node Management (Surgical Technique)**	Indocyanine green (ICG) fluorescence-guided ILND is recommended for patients with cN0M0 disease undergoing staging ILND, as it improves the number of retrieved lymph nodes without increasing complications.	0	1	1	1	1	1
**Lymph Node Management (Surgical Technique)**	To reduce post-operative lymphorrhoea, intraoperative mapping and clipping of lymphatic channels using methylene blue is recommended during therapeutic inguinal dissection.	0	1	1	1	1	1
**Lymph Node Management (Surgical Technique)**	During inguinal lymphadenectomy, ligation of lymphatic vessels is the preferred technique over diathermic coagulation to reduce morbidity.	0	1	1	1	1	1
**Patient Counseling**	Patients undergoing surgery where Intraoperative Frozen Section Examination (FSE) is planned must be informed that discordance between FSE and final histology can occur, potentially leading to early local recurrence.	0	1	1	1	1	1
**Patient Counseling**	Before performing penile-preserving surgery, clinicians must ensure that patients are capable of and will commit to regular self-examination and attending scheduled follow-up appointments.	0	1	1	1	1	1
**Perioperative Care**	**Antibiotic Prophylaxis:**<br>• Administer prophylactic antibiotics within 1 hour of incision.<br>• Continue for 24 hours after primary penile surgery.<br>• Continue until removal of surgical drains for ILND.	0	1	1	1	1	1
**Perioperative Care**	**Thromboprophylaxis (DVT/PE Prevention) for ILND:**<br>• Use perioperative sequential compression devices.<br>• Administer prophylactic low-molecular-weight heparin or direct oral anticoagulants.<br>• Encourage early ambulation.	0	1	1	1	1	1
**Perioperative Care**	General patient management should include early ambulation post-surgery and optimization of nutritional support, especially for patients with poor health status.	0	1	1	1	1	1
**Perioperative Care**	Strict diabetes control is crucial for avoiding wound infection-related adverse events in patients undergoing ILND.	0	1	1	1	1	1
**Postoperative Care**	**Primary Penile Surgery - Wound and Catheter Management:**<br>• **Dressing:** Use compressive surgical dressings for 2-7 days.<br>• **Foley Catheter:** Typically remove around 7 days post-surgery for patients who undergo neomeatus creation or STSG application.	0	1	1	1	1	1
**Postoperative Care**	"**Inguinal Lymph Node Dissection (ILND) - Specific Management:**<br>• **Lymphedema Prevention:** Use compression stockings.<br>• **Fluid Management:** Conduct daily measurement of ""ins/outs"" and regular stripping of surgical drains.<br>• **Drain Management:** Maintain closed suction drains until output is <30-50 mL per 24 hours.<br>• **Foley Catheter:** Typically remove on postoperative day 2."	0	1	1	1	1	1
**Primary Treatment**	Surgery is the standard, curative treatment for localized penile cancer.	0	1	1	1	1	1
**Primary Treatment**	Penile-preserving/organ-sparing surgery should be considered for all patients with localized penile cancer whenever clinically feasible to preserve organ form and function without compromising oncological outcomes.	0	1	1	1	1	1
**Primary Treatment**	For Penile Intraepithelial Neoplasia (PeIN) located on the prepuce, circumcision is the preferred treatment.	0	1	1	1	1	1
**Primary Treatment**	For Penile Intraepithelial Neoplasia (PeIN) / Carcinoma in Situ (Tis) of the glans, first-line options include organ-sparing approaches such as topical treatments (e.g., imiquimod, 5-fluorouracil) or laser treatments.	0	1	1	1	1	1
**Primary Treatment**	For Penile Intraepithelial Neoplasia (PeIN) of the glans after failure of a first-line topical or laser treatment, patients should be offered a second topical or laser treatment.	0	1	1	1	1	1
**Primary Treatment**	For extensive or recurrent PeIN of the glans after failure of first- and second-line treatments, surgical options like wide local excision or glans resurfacing should be offered.	0	1	1	1	1	1
**Primary Treatment**	For early-stage, superficial, or non-invasive penile cancer, treatment typically involves limited excision or non-invasive therapies like topical treatments.	0	1	1	1	1	1
**Primary Treatment**	For early-stage penile SCC, treatment options include Wide Local Excision (WLE), Mohs Micrographic Surgery (MMS), glansectomy, or partial penectomy.	0	1	1	1	1	1
**Primary Treatment**	For localized penile cancer (stages pTis, pTa, pT1), viable penile-sparing surgery options include circumcision (if limited to foreskin), wide local excision (WLE), laser ablation, glans resurfacing, and glansectomy.	0	1	1	1	1	1
**Primary Treatment**	Glansectomy is the indicated treatment and widely accepted procedure of choice for invasive penile cancer confined to the glans, including stage cT2 (invasion of glans spongiosum).	0	1	1	1	1	1
**Primary Treatment**	For invasive or advanced penile cancer, more extensive surgical intervention is required, such as partial or total penectomy.	0	1	1	1	1	1
**Primary Treatment**	For patients with T3 disease (invasion of corpora cavernosa), organ-sparing surgical approaches are usually precluded. Complete or partial penectomy is warranted.	0	1	1	1	1	1
**Primary Treatment**	For penile SCC (particularly smaller, T1 lesions), Mohs Micrographic Surgery (MMS) should be considered an effective option, as it is associated with a lower local recurrence rate compared to Wide Local Excision (WLE).	0	1	1	1	1	1
**Primary Treatment**	Radiation therapy is an alternative organ-preserving approach for primary tumors, particularly for T1-2 lesions < 4 cm in diameter. Brachytherapy may offer better recurrence-free rates compared to External Beam Radiotherapy (EBRT).	0	1	1	1	1	1
**Primary Treatment**	For patients with HPV-related PSCC, conservative surgical approaches, such as organ-preserving techniques, may be considered in appropriately selected cases given the favorable prognosis.	0	1	1	1	1	1
**Primary Treatment**	For Penile Verrucous Carcinoma (PVC) tumors < 3 cm and classified as Stage T1, local excision with minimal surgical margins followed by careful observation is recommended as the first-line treatment.	0	1	1	1	1	1
**Primary Treatment**	For tumors initially thought to be Penile Verrucous Carcinoma (PVC) but later considered not to be based on findings, the excision should be widened.	0	1	1	1	1	1
**Primary Treatment**	For Stage T2 penile cancers (defined as invasive cancers different from PVC), aggressive treatment is recommended.	0	1	1	1	1	1
**Primary Treatment**	For localized penile cancer in kidney transplant recipients, the surgical treatment should be consistent with established guidelines for the general population.	0	1	1	1	1	1
**Prognostic Assessment**	Testing of the tumour tissue for p53 expression is suggested to be useful for clinical planning to stratify patients and help inform management and follow-up strategy.	0	1	1	1	1	1
**Reconstructive Surgery**	For patients undergoing glansectomy who desire a neoglans, a split-thickness skin graft (SSG) can be used for reconstruction.	0	1	1	1	1	1
**Salvage Treatment**	Patients who experience a local recurrence or are found to have positive surgical margins after initial organ-sparing surgery can be offered a salvage penectomy.	0	1	1	1	1	1
**Screening**	General screening protocols for penile cancer are not recommended in kidney transplant recipients.	0	1	1	1	1	1
**Surgical Margins**	For penile-preserving surgery, conservative surgical margins of 3-5 mm (or a few millimeters) are considered acceptable to achieve oncological control, a reduction from historical recommendations.	0	1	1	1	1	1
**Surgical Margins**	When performing Wide Local Excision (WLE) for penile SCC, a 1 cm margin is often suggested to reduce recurrence.	0	1	1	1	1	1
**Surgical Technique**	If tumors extend into or macroscopically involve the distal corporal tips during glansectomy, a distal corporectomy should be performed.	0	1	1	1	1	1
**Systemic Therapy**	A multimodal therapeutic approach is typically warranted for patients with lymph node involvement (locally advanced and advanced PSCC).	0	1	1	1	1	1
**Systemic Therapy**	For unresectable tumours or disseminated metastatic disease, cytotoxic chemotherapy is employed, which can be used in a neoadjuvant or adjuvant context.	0	1	1	1	1	1
**Systemic Therapy (Adjuvant)**	Adjuvant chemotherapy (ACT) should be considered for patients with pathologically confirmed pN2-3 disease, as it may be of benefit, particularly for those with pN3 or pelvic lymph node metastases.	0	1	1	1	1	1
**Systemic Therapy (Adjuvant)**	Adjuvant radiotherapy (ART) should be considered after lymph node dissection for patients with pN2-3 disease, as it may reduce recurrence and improve survival.	0	1	1	1	1	1
**Systemic Therapy (Adjuvant)**	Adjuvant Chemoradiotherapy (ACRT) may provide a modest additional benefit in reducing locoregional recurrence and improving survival in pN3 disease, especially with extranodal extension (ENE) or HPV positivity.	0	1	1	1	1	1
**Systemic Therapy (Adjuvant)**	(Neo)adjuvant treatment (chemotherapy or radiotherapy) is not recommended for pN1 disease as it has no proven survival benefit.	0	1	1	1	1	1
**Systemic Therapy (Adjuvant)**	Adjuvant Radiotherapy (RT) following Pelvic Lymph Node Dissection (PLND) is not recommended as a routine practice and should be restricted to prospective controlled clinical trials.	0	1	1	1	1	1
**Systemic Therapy (First-Line Advanced/Metastatic)**	For advanced, locally advanced, or metastatic disease, first-line systemic therapy typically involves platinum-based chemotherapy, such as the TIP regimen (paclitaxel, ifosfamide, and cisplatin).	0	1	1	1	1	1
**Systemic Therapy (Investigational)**	The combination of Nivolumab and Ipilimumab appears unpromising for patients with PeCa.	0	1	1	1	1	1
**Systemic Therapy (Neoadjuvant)**	Neoadjuvant chemotherapy (NACT) is recommended for patients with fixed, bulky, or advanced nodal disease (cN2-3), particularly when not immediately resectable, with the goal of downstaging to enable subsequent surgical consolidation.	0	1	1	1	1	1
**Systemic Therapy (Neoadjuvant)**	Neoadjuvant Chemotherapy (NC) can be utilized when initial local control is desired, with the specific goal of enabling a subsequent, less aggressive radical local surgery.	0	1	1	1	1	1
**Systemic Therapy (Radiotherapy for Penile Metastasis)**	Radiotherapy for symptomatic Penile Metastasis (PM) is primarily palliative to manage pain, priapism, bleeding, and urinary dysfunction, with dosages from 25 Gy to 60 Gy depending on goals.	0	1	1	1	1	1
**Systemic Therapy (Radiotherapy for Penile Metastasis)**	Stereotactic body radiotherapy (SBRT), e.g., 25 Gy in 5 fractions, is a valuable approach for Penile Metastasis (PM) that can provide good symptomatic relief and local control, especially in oligometastatic disease.	0	1	1	1	1	1
**Systemic Therapy (Radiotherapy for Penile Metastasis)**	Adjuvant radiotherapy (e.g., 30 Gy in 10 fractions) can be considered after surgery for Penile Metastasis (PM) to help prevent recurrence.	0	1	1	1	1	1
**Systemic Therapy (for Refractory Disease)**	For patients with advanced or metastatic disease refractory to first-line chemotherapy, immunotherapy with immune checkpoint inhibitors (e.g., Avelumab, Nivolumab/Ipilimumab) may be considered, particularly for those with Microsatellite Instability-High (MSI-H) or high Tumor Mutational Burden (TMB-H).	0	1	1	1	1	1
**Systemic Therapy (Targeted / Immunotherapy - Investigational)**	Based on molecular profiles, the following are proposed: PARP inhibitors for defective DNA repair/MSI; mTOR inhibitors for *TP53*-mutated tumors; EGFR/COX2 inhibitors for tumors with alterations in *ADAM6/EGFR/COX2*; and imatinib for *PDGFA*-mutated tumors.	0	1	1	1	1	1
**Systemic Therapy (Targeted / Immunotherapy - Investigational)**	For patients with NOTCH1-mutated tumors, enrollment in clinical trials focused on PI3K/mTOR inhibitors is suggested.	0	1	1	1	1	1
